,realestate_existing_n,realestate_existing_p,realestate_existing_a,realestate_new_n,realestate_new_p,realestate_new_a,realestate_stock_n,realestate_stock_p,realestate_stock_a,secondary_existing_n,secondary_existing_p,secondary_existing_a,secondary_new_n,secondary_new_p,secondary_new_a,secondary_stock_n,secondary_stock_p,secondary_stock_a,other_sector_existing_n,other_sector_existing_p,other_sector_existing_a,other_sector_new_n,other_sector_new_p,other_sector_new_a,other_sector_stock_n,other_sector_stock_p,other_sector_stock_a,tertiary_existing_n,tertiary_existing_p,tertiary_existing_a,tertiary_new_n,tertiary_new_p,tertiary_new_a,tertiary_stock_n,tertiary_stock_p,tertiary_stock_a,government_existing_n,government_existing_p,government_existing_a,government_new_n,government_new_p,government_new_a,government_stock_n,government_stock_p,government_stock_a,primary_existing_n,primary_existing_p,primary_existing_a,primary_new_n,primary_new_p,primary_new_a,primary_stock_n,primary_stock_p,primary_stock_a
410510,15.0,3565.3239999999996,20.9527,11.0,85408.77579999999,70.34299100000001,27.0,265100.351,196.34179999999998,7.0,4871.6691,13.992500000000001,2.0,1286.6524,4.1806,0.0,0.0,0.0,2.0,2367.25,5.0327,1.0,1187.136,4.1218,0.0,0.0,0.0,27.0,2650.2115000000003,15.1229,1.0,473.968,0.5313,2.0,0.0,21.0374,3.0,1163.7771,14.5867,4.0,0.0,154.4726,10.0,13639.68,152.6521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410511,11.0,5414.52,22.7217,10.0,47740.890400000004,70.3405,15.0,120478.52040000001,129.781929,0.0,0.0,0.0,1.0,1513.18,3.3852,0.0,0.0,0.0,2.0,125.73,0.9442,2.0,0.0,11.521,0.0,0.0,0.0,16.0,20947.34,37.966,2.0,755.5740000000001,1.4882,0.0,0.0,0.0,1.0,194.71,0.1077,2.0,0.0,24.452076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410512,10.0,20811.21,11.169608000000002,14.0,56424.0,70.296286,5.0,12385.0,11.825803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8813,0.0,0.0,0.0,25.0,1360.1,154.21203799999998,5.0,1272.5626,23.873812,11.0,425.39,76.658335,6.0,1812.1725,21.397900000000003,14.0,1891.6269,33.077,2.0,0.0,5.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410513,7.0,16336.04,6.407648,22.0,94416.25,91.267728,10.0,37618.5981,50.81446799999999,0.0,0.0,0.0,10.0,19878.0,70.080464,1.0,19200.0,49.8767,0.0,0.0,0.0,3.0,2490.0,7.64356,1.0,950.0,2.666,19.0,9981.489999999998,27.172852000000002,21.0,2750.0,366.637679,5.0,1370.71,36.596487,0.0,0.0,0.0,7.0,1315.875,20.074299999999997,4.0,940.96,7.398899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410514,2.0,4139.89,2.492037,20.0,111010.0,119.91115500000002,8.0,57830.3769,42.225667,1.0,576.0,2.0,12.0,12285.0,44.441092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.0059,0.655,0.0,0.0,0.0,12.0,4954.96,7.230014,47.0,70903.0,164.83672000000004,15.0,29761.21,56.344416,11.0,0.0,7.311895,99.0,600.78,320.26673800000003,11.0,0.0,46.003448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410515,0.0,0.0,0.0,6.0,28026.0,35.455087999999996,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11112.0,47.34223000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1981.0,7.033755,0.0,0.0,0.0,5.0,1010.93,4.6178,3.0,44214.0,70.657399,1.0,0.0,68.036,1.0,0.0,0.739,76.0,2060.9254,85.28552300000001,4.0,0.0,13.401329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410516,2.0,882.0,2.4322,17.0,82664.0,110.493765,5.0,20408.0,67.015831,0.0,0.0,0.0,11.0,7344.0,34.627887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,1.9366999999999999,12.0,45605.0,74.273782,10.0,30214.0,87.887978,0.0,0.0,0.0,5.0,0.0,19.3604,3.0,0.0,29.1065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,632.0,2.786846
410603,1.0,0.0085,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.76,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410607,2.0,165.68,0.471,8.0,28440.2235,100.2098,1.0,2510.0,3.3072,15.0,646.5179999999999,11.158799999999998,11.0,9025.3008,58.1366,3.0,70.0,7.0382,2.0,2512.11,10.6996,0.0,0.0,0.0,0.0,0.0,0.0,4.0,180.8256,4.1925,7.0,7598.759099999999,23.770699999999998,2.0,302.02,1.5995,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.3494,0.0,0.0,0.0,1.0,220.35,2.938,0.0,0.0,0.0
