,cityID,total_n,total_p,total_a,招拍挂_n,招拍挂_p,招拍挂_a,协议出让_n,协议出让_p,协议出让_a,划拨_n,划拨_p,划拨_a,其他_n,其他_p,其他_a,租赁_n,租赁_p,租赁_a,existing_n,existing_p,existing_a,new_n,new_p,new_a,stock_n,stock_p,stock_a
130308,秦皇岛市,248.0,477555.17909999995,1434.997969,31.0,282333.198,149.3313,192.0,191569.76470000003,1212.6127000000001,25.0,3652.2164000000002,73.05396900000001,0.0,0.0,0.0,0.0,0.0,0.0,217.0,431776.67110000004,1327.593869,9.0,9876.552,35.8517,22.0,35901.956,71.55239999999999
130309,秦皇岛市,139.0,215393.9901,383.159605,36.0,138206.4651,164.20722699999996,66.0,51500.5108,132.26111999999998,37.0,25687.0142,86.691258,0.0,0.0,0.0,0.0,0.0,0.0,86.0,113397.3489,169.670412,27.0,63446.38760000001,143.474111,26.0,38550.253600000004,70.015082
130310,秦皇岛市,153.0,1031190.8363999999,721.690883,74.0,968732.8432999998,463.32746299999997,46.0,59722.63629999999,185.74429999999998,33.0,2735.3568,72.61912000000001,0.0,0.0,0.0,0.0,0.0,0.0,77.0,479467.3018999999,176.161159,50.0,501710.8165000001,477.584129,26.0,50012.718,67.945595
130311,秦皇岛市,117.0,433647.81169999996,543.862358,44.0,369005.52720000007,212.86766999999998,33.0,23126.8627,25.23965,40.0,41515.421800000004,305.755038,0.0,0.0,0.0,0.0,0.0,0.0,47.0,60955.958300000006,44.534178,45.0,191905.92299999998,306.818262,25.0,180785.93039999998,192.509918
130312,秦皇岛市,126.0,603497.0413000002,635.2702879999999,64.0,398491.75930000003,397.699655,38.0,142990.5488,153.844087,24.0,62014.7332,83.726546,0.0,0.0,0.0,0.0,0.0,0.0,61.0,159348.5599,123.41053600000001,44.0,236954.9333,171.856838,21.0,207193.5481,340.0029139999999
130313,秦皇岛市,166.0,374052.91870000004,709.6756399999999,45.0,301708.8217000001,218.23570999999998,21.0,38020.23390000001,43.593107999999994,100.0,34323.86310000001,447.8468220000001,0.0,0.0,0.0,0.0,0.0,0.0,45.0,104636.5098,94.14508500000001,100.0,183103.85140000004,500.13445500000006,21.0,86312.5575,115.39609999999999
130314,秦皇岛市,66.0,174225.8167,192.06749799999997,33.0,146553.48910000004,107.38894599999998,10.0,24668.512199999997,32.059732,23.0,3003.8154,52.61882,0.0,0.0,0.0,0.0,0.0,0.0,23.0,76750.3945,39.418302000000004,38.0,94310.2332,135.07173799999998,5.0,3165.189,17.577458
130315,秦皇岛市,47.0,269720.20239999995,157.20911699999996,24.0,254679.7256,101.732453,12.0,5830.0924,5.413805,11.0,9210.384399999999,50.062858999999996,0.0,0.0,0.0,0.0,0.0,0.0,22.0,107775.8583,34.640254,19.0,129962.36299999998,111.99460899999998,6.0,31981.9811,10.574254
130316,秦皇岛市,143.0,268013.54760000005,367.42274299999997,71.0,251169.45780000003,138.975997,7.0,3402.312900000001,3.7422310000000003,65.0,13441.7769,224.70451500000001,0.0,0.0,0.0,0.0,0.0,0.0,28.0,77545.74680000001,49.453553,103.0,158533.88900000002,294.14712799999995,12.0,31933.9118,23.822062
130406,邯郸市,3.0,162.47,4.2139,2.0,0.0,3.1308,1.0,162.47,1.0831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.1308,1.0,162.47,1.0831,0.0,0.0,0.0
130407,邯郸市,72.0,103708.99579999999,131.9597,25.0,87909.47,77.6402,39.0,15799.525799999998,42.265600000000006,8.0,0.0,12.053899999999999,0.0,0.0,0.0,0.0,0.0,0.0,48.0,32070.147700000005,57.2923,24.0,71638.8481,74.6674,0.0,0.0,0.0
130408,邯郸市,101.0,348934.7938,785.9935999999999,74.0,223205.0,307.9314,19.0,125729.7938,450.94309999999996,8.0,0.0,27.1191,0.0,0.0,0.0,0.0,0.0,0.0,83.0,224366.28999999998,199.65229999999997,16.0,124568.5038,562.754,2.0,0.0,23.5873
130409,邯郸市,112.0,387904.9859,236.16230000000002,79.0,362574.1715,174.4621,18.0,25330.8144,29.4732,15.0,0.0,32.227,0.0,0.0,0.0,0.0,0.0,0.0,92.0,323001.7623,171.4201,11.0,9246.5,22.873700000000003,9.0,55656.7236,41.868500000000004
130410,邯郸市,170.0,851497.7689,615.722172,122.0,818427.5349999999,457.053672,24.0,23890.1866,28.665200000000002,24.0,9180.0473,130.0033,0.0,0.0,0.0,0.0,0.0,0.0,90.0,494896.7216,205.7338,57.0,337006.0,266.63507200000004,23.0,19595.0473,143.3533
130411,邯郸市,95.0,784607.2607,438.31061100000005,67.0,758090.1618,303.40021100000007,5.0,1735.78,4.2175,23.0,24781.3189,130.6929,0.0,0.0,0.0,0.0,0.0,0.0,35.0,229837.94180000003,82.94542999999999,47.0,468402.2341,253.317171,13.0,86367.0848,102.04800999999999
130412,邯郸市,140.0,585465.0426,466.582648,106.0,538965.0,414.70233799999994,21.0,39120.59,26.382821999999994,13.0,7379.4526000000005,25.497487999999997,0.0,0.0,0.0,0.0,0.0,0.0,37.0,163807.58999999997,60.941463000000006,100.0,341027.45259999996,388.35683500000005,3.0,80630.0,17.28435
130413,邯郸市,126.0,623082.2782999999,363.68749900000006,75.0,544119.259,221.914441,30.0,55708.890000000014,54.18104799999999,21.0,23254.129299999997,87.59201000000002,0.0,0.0,0.0,0.0,0.0,0.0,66.0,290795.149,133.271944,58.0,315324.12930000003,226.190975,2.0,16963.0,4.22458
130414,邯郸市,74.0,342759.23529999994,290.04926800000004,40.0,327842.7024,130.38458400000002,6.0,7405.98,2.6249469999999997,28.0,7510.5529,157.03973699999997,0.0,0.0,0.0,0.0,0.0,0.0,29.0,70791.68239999999,43.203407000000006,43.0,193942.5529,232.96071600000002,2.0,78025.0,13.885145
130415,邯郸市,78.0,325752.51930000004,412.7530969999999,36.0,299824.97,130.076394,2.0,10207.9954,4.94651,40.0,15719.553899999999,277.730193,0.0,0.0,0.0,0.0,0.0,0.0,16.0,184311.96540000002,44.313916,60.0,90725.7555,353.73681899999997,2.0,50714.7984,14.702362
130416,邯郸市,67.0,456882.1601,165.94932400000002,56.0,439756.0,122.777189,3.0,197.56799999999998,1.6463999999999999,8.0,16928.592099999998,41.525735000000005,0.0,0.0,0.0,0.0,0.0,0.0,33.0,281752.3746,68.901142,32.0,175129.7855,94.248182,2.0,0.0,2.8
130506,邢台市,1.0,0.0,0.624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.624,0.0,0.0,0.0
130507,邢台市,51.0,154340.2156,246.5248,19.0,95662.65289999999,80.78280000000001,25.0,58677.5627,151.82420000000002,7.0,0.0,13.9178,0.0,0.0,0.0,0.0,0.0,0.0,46.0,153682.7232,230.3868,4.0,139.7424,12.3477,1.0,517.75,3.7903
130508,邢台市,49.0,87893.2223,86.0827,20.0,78590.64229999999,49.096199999999996,25.0,9302.58,27.5437,4.0,0.0,9.4428,0.0,0.0,0.0,0.0,0.0,0.0,42.0,87772.8323,75.4077,4.0,0.0,9.4428,3.0,120.38999999999999,1.2322
130509,邢台市,61.0,94038.06019999999,118.217447,31.0,91404.1032,85.26124700000003,16.0,2633.957,4.821400000000001,14.0,0.0,28.134799999999995,0.0,0.0,0.0,0.0,0.0,0.0,45.0,64032.720199999996,47.463132,12.0,30005.34,63.309215,4.0,0.0,7.4451
130510,邢台市,70.0,279400.67130000005,257.30406100000005,52.0,273642.3953,241.30219300000005,15.0,5758.276000000001,13.541900000000002,3.0,0.0,2.459968,0.0,0.0,0.0,0.0,0.0,0.0,53.0,221476.2013,191.9341,16.0,48874.47,54.193161,1.0,9050.0,11.1768
130511,邢台市,61.0,222090.438,158.836071,43.0,220138.94,120.399094,6.0,1951.4979999999998,6.0555,12.0,0.0,32.381477,0.0,0.0,0.0,0.0,0.0,0.0,39.0,152580.438,75.24294800000001,16.0,57310.0,67.67848599999999,6.0,12200.0,15.914636999999999
130512,邢台市,42.0,151386.1741,149.822335,26.0,133175.3,106.46906899999999,7.0,18210.8741,16.019693,9.0,0.0,27.333572999999998,0.0,0.0,0.0,0.0,0.0,0.0,21.0,47371.08,56.28339200000001,16.0,88485.0941,64.967334,5.0,15530.0,28.571609
130513,邢台市,40.0,118647.6,188.143612,31.0,117869.22,80.829656,2.0,778.38,0.496845,7.0,0.0,106.817111,0.0,0.0,0.0,0.0,0.0,0.0,22.0,82607.0,66.122347,15.0,24875.6,114.613645,3.0,11165.0,7.40762
130514,邢台市,37.0,78424.54000000001,95.42636399999999,20.0,74271.0,62.692261,10.0,4153.54,1.434622,7.0,0.0,31.299481,0.0,0.0,0.0,0.0,0.0,0.0,15.0,29626.54,19.551080999999996,20.0,39138.0,71.502983,2.0,9660.0,4.3723
130515,邢台市,56.0,293075.47,183.512342,46.0,293053.0,145.21160799999998,1.0,22.47,0.02964,9.0,0.0,38.271094,0.0,0.0,0.0,0.0,0.0,0.0,15.0,92435.47,36.390407,29.0,129360.0,118.427668,12.0,71280.0,28.694267000000004
130516,邢台市,43.0,206250.57,88.67591300000001,26.0,206116.07,58.231202,1.0,85.0,0.017511,16.0,49.5,30.4272,0.0,0.0,0.0,0.0,0.0,0.0,15.0,150884.47,37.39560600000001,23.0,31156.1,42.54377000000001,5.0,24210.0,8.736537
