,realestate_auction_n,realestate_auction_p,realestate_auction_a,realestate_agreement_n,realestate_agreement_p,realestate_agreement_a,realestate_transfer_n,realestate_transfer_p,realestate_transfer_a,realestate_other_n,realestate_other_p,realestate_other_a,realestate_lease_n,realestate_lease_p,realestate_lease_a,secondary_auction_n,secondary_auction_p,secondary_auction_a,secondary_agreement_n,secondary_agreement_p,secondary_agreement_a,secondary_transfer_n,secondary_transfer_p,secondary_transfer_a,secondary_other_n,secondary_other_p,secondary_other_a,secondary_lease_n,secondary_lease_p,secondary_lease_a,other_auction_n,other_auction_p,other_auction_a,other_agreement_n,other_agreement_p,other_agreement_a,other_transfer_n,other_transfer_p,other_transfer_a,other_other_n,other_other_p,other_other_a,other_lease_n,other_lease_p,other_lease_a,tertiary_auction_n,tertiary_auction_p,tertiary_auction_a,tertiary_agreement_n,tertiary_agreement_p,tertiary_agreement_a,tertiary_transfer_n,tertiary_transfer_p,tertiary_transfer_a,tertiary_other_n,tertiary_other_p,tertiary_other_a,tertiary_lease_n,tertiary_lease_p,tertiary_lease_a,government_auction_n,government_auction_p,government_auction_a,government_agreement_n,government_agreement_p,government_agreement_a,government_transfer_n,government_transfer_p,government_transfer_a,government_other_n,government_other_p,government_other_a,government_lease_n,government_lease_p,government_lease_a,primary_auction_n,primary_auction_p,primary_auction_a,primary_agreement_n,primary_agreement_p,primary_agreement_a,primary_transfer_n,primary_transfer_p,primary_transfer_a,primary_other_n,primary_other_p,primary_other_a,primary_lease_n,primary_lease_p,primary_lease_a
360105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7272,0.0,0.0,0.0,0.0,0.0,0.0,69.0,654180.9926,412.32110000000006,11.0,3905.3095999999996,15.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,472196.33759999997,740.7852999999999,26.0,18100.711000000003,73.21699999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5020.0,29.9936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360107,12.0,194835.963,139.4453,0.0,0.0,0.0,2.0,1050.0,19.0544,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22006.034200000002,138.5466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100447.3309,87.5027,4.0,1390.3969,13.5184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9856.008,18.270400000000002,3.0,3734.705,18.1492,8.0,2448.2772,82.3031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360108,14.0,244865.8922,100.72720000000001,0.0,0.0,0.0,2.0,3320.9358,43.1813,0.0,0.0,0.0,0.0,0.0,0.0,14.0,28129.4745,88.89789999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,395452.8428,418.9707,2.0,4424.9147,36.855000000000004,1.0,0.0,1.5323,0.0,0.0,0.0,0.0,0.0,0.0,10.0,75978.237,44.4241,2.0,75.16,0.22089999999999999,9.0,576.278,105.4233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,193.0,4.7941,0.0,0.0,0.0,0.0,0.0,0.0,1.0,643.707,5.2975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360109,23.0,373430.79889999994,271.48417,1.0,1628.4895,5.4921,11.0,18955.354499999998,46.4808,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14043.399500000001,43.3214,2.0,185.3864,1.6884000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,318.2895,2.6196,0.0,0.0,0.0,2.0,1229.56,2.4779,0.0,0.0,0.0,0.0,0.0,0.0,17.0,85607.2782,120.14420000000001,19.0,11650.283499999998,101.35539999999999,19.0,20651.942000000003,554.9527999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5580.189,10.3684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,397.7291,2.7335,0.0,0.0,0.0,1.0,160.0,0.533,0.0,0.0,0.0,0.0,0.0,0.0
360110,26.0,299513.1065,120.20472999999998,5.0,3573.8918000000003,4.6946,12.0,14393.694300000001,47.6936,0.0,0.0,0.0,0.0,0.0,0.0,43.0,62567.688500000004,274.1528,6.0,4126.7262,11.263800000000002,2.0,385.56,0.8668,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10605.513500000001,55.423100000000005,1.0,245.3248,5.5253,5.0,1200.5745,9.452,0.0,0.0,0.0,0.0,0.0,0.0,26.0,66982.6394,74.525035,14.0,12068.476400000001,27.211299999999998,194.0,35981.8182,1476.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,12383.6155,465.3301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2658,0.0,0.0,0.0,0.0,0.0,0.0
360111,36.0,897085.3605000001,206.913462,3.0,2390.0499999999997,0.2629,6.0,480.3596,22.486016999999997,0.0,0.0,0.0,0.0,0.0,0.0,33.0,46480.909400000004,129.29041,2.0,493.356,1.0245,1.0,0.0,2.6688,0.0,0.0,0.0,0.0,0.0,0.0,10.0,18375.6397,187.32857,0.0,0.0,0.0,1.0,0.0,0.3123,0.0,0.0,0.0,0.0,0.0,0.0,13.0,88285.1234,78.746876,16.0,11056.7161,25.53703,56.0,38311.7833,454.91726299999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,115.633,0.1181,40.0,9552.4519,236.97351700000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1967,0.0,0.0,0.0,0.0,0.0,0.0
360112,32.0,679121.1825,235.30607600000002,3.0,20623.4022,19.255538,11.0,1312.5312999999999,24.201143,0.0,0.0,0.0,0.0,0.0,0.0,44.0,34776.1876,137.774296,7.0,4007.6282,20.014770000000002,2.0,0.0,10.354197,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10913.341400000001,45.393660000000004,1.0,319.6,0.3044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,72210.08149999999,127.772058,8.0,23676.764,12.076218,35.0,10844.2855,449.612011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4801.398,316.488572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360113,66.0,1902090.8395999998,477.172253,1.0,4187.65,0.13197,9.0,1236.4,50.926016000000004,0.0,0.0,0.0,0.0,0.0,0.0,73.0,113429.21729999999,424.702065,21.0,71736.7136,70.329026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6577.866,69.1857,0.0,0.0,0.0,1.0,0.0,1.3537,0.0,0.0,0.0,0.0,0.0,0.0,25.0,105046.88109999998,97.846188,22.0,50684.853200000005,65.81919500000001,42.0,27289.6742,313.71943000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,15956.168,499.723132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360114,54.0,1718901.2156,330.856251,5.0,85968.937,40.895287,2.0,0.0,3.5012689999999997,0.0,0.0,0.0,0.0,0.0,0.0,28.0,25608.1785,148.11365,98.0,439837.8329,134.10764,2.0,4628.76,9.351337000000001,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3808.7564,18.423751000000003,1.0,155.4897,0.026651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,57311.5116,28.161047999999997,16.0,112305.9718,35.574342,28.0,51046.09999999999,135.84652200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15910.62,244.92967800000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,432.624,1.8026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
